Nome do Produto;Descricao do Produto;Fabricante;Nome da Marca;Tipo;Custo Unitario;Preco Unitario;ID Produto;Categoria
The Phone Company Touch Screen Phones - LCD M12 Grey;1.3 megapixel camera, touch screen display;The Phone Company;The Phone Company;Econômico;91,97;200;1441;Smartphone
The Phone Company Touch Screen Phones 4-Wire/On-wall M302 Black;1.3 megapixel camera, touch screen display;The Phone Company;The Phone Company;Regular;132,9;289;1412;Smartphone
Adventure Works Desktop PC1.60 ED160 Silver;1.60GHz dual processor, 1GB DDR2 memory, 30GB 5400RPM hard drive;Adventure Works;Adventure Works;Econômico;137,63;269,95;418;Desktop
Adventure Works Desktop PC1.60 ED160 Black;1.60GHz dual processor, 1GB DDR2 memory, 30GB 5400RPM hard drive;Adventure Works;Adventure Works;Econômico;137,63;269,95;424;Desktop
Adventure Works Desktop PC1.60 ED160 Brown;1.60GHz dual processor, 1GB DDR2 memory, 30GB 5400RPM hard drive;Adventure Works;Adventure Works;Econômico;137,63;269,95;430;Desktop
Adventure Works Desktop PC1.60 ED160 White;1.60GHz dual processor, 1GB DDR2 memory, 30GB 5400RPM hard drive;Adventure Works;Adventure Works;Econômico;137,63;269,95;435;Desktop
WWI Desktop PC1.60 E1600 Silver;1.60GHz dual processor, 2GB DDR2 memories, 30GB 5400RPM hard drive;Wide World Importers;Wide World Importers;Econômico;112,14;219,95;440;Desktop
WWI Desktop PC1.60 E1600 Black;1.60GHz dual processor, 2GB DDR2 memories, 30GB 5400RPM hard drive;Wide World Importers;Wide World Importers;Econômico;112,14;219,95;446;Desktop
WWI Desktop PC1.60 E1600 Red;1.60GHz dual processor, 2GB DDR2 memories, 30GB 5400RPM hard drive;Wide World Importers;Wide World Importers;Econômico;112,14;219,95;452;Desktop
WWI Desktop PC1.60 E1600 White;1.60GHz dual processor, 2GB DDR2 memories, 30GB 5400RPM hard drive;Wide World Importers;Wide World Importers;Econômico;112,14;219,95;457;Desktop
Fabrikam Laptop8.9 M0801 Silver;1.6GHz CPU, 1GB DDR2 SDRAM, 60GB hard drive (2.2 pounds);Fabrikam, Inc.;Fabrikam;Regular;185,32;363,5;355;Laptop
Contoso Conversion Lens M550 Blue;1.7x Magnification, autofocus feature, high grade construction;Contoso, Ltd;Contoso;Regular;94,27;205;1312;Acessório para Câmera
Contoso Conversion Lens M550 Black;1.7x Magnification, autofocus feature, high grade construction;Contoso, Ltd;Contoso;Regular;94,27;205;1313;Acessório para Câmera
